hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIHQPWID,Capital O 80951 Hotel Radisson Suite,"India, Mumbai",Mumbai,,,hotel,,2819,INR,104,1.4
OIVDABKK,SilverKey Hotel Manas Residency,"Chembur East, Mumbai",Mumbai,,,hotel,,2702,INR,410,2.6
OIHMGTJI,Hotel Airport Metro,"Andheri East, Mumbai",Mumbai,,,hotel,,2289,INR,879,4.5
OIHSYWGB,Collection O Hotel Kiwi International,"Andheri East, Mumbai",Mumbai,,,hotel,,2094,INR,75,1.3
OINBWNJZ,Druv's Taj Palace,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",Mumbai,,,hotel,,2656,INR,686,3.7
OIHEWCNG,Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai",Mumbai,,,hotel,,3127,INR,588,3.4
OIRKZKBH,Hotel Blue Executive,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai",Mumbai,,,hotel,,2772,INR,1875,5.0
OIUDSFZB,Blue Pearl Residency,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",Mumbai,,,hotel,,1921,INR,995,5.0
OIHWMLXH,Hotel Blue Sapphire Residency,"Near The Crescent Business Park, Sakinaka, Mumbai",Mumbai,,,hotel,,2220,INR,1144,5.0
OIMPXEFB,Hotel Blue Sea,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",Mumbai,,,hotel,,1921,INR,2051,5.0
OITWEUTZ,Super OYO Hotel Divine Residency,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",Mumbai,,,hotel,,4069,INR,644,3.6
OITQYIWD,Capital O Hotel Adore Palace,"Sakinaka Jharimari Link Road, Mumbai",Mumbai,,,hotel,,2092,INR,34,1.1
OIIOKWKZ,Hotel Greenforest,"Near Axis Bank, Customs Colony, Mumbai",Mumbai,,,hotel,,2247,INR,664,3.7
OINCXKOR,Capital O Hotel Pearl,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai",Mumbai,,,hotel,,2896,INR,119,1.5
OIXVDERW,Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai",Mumbai,,,hotel,,2535,INR,477,2.9
OIYKYJQA,Rana Residency,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",Mumbai,,,hotel,,1916,INR,589,3.4
OIKBGSEA,Flagship The Mumbai Inn,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai",Mumbai,,,hotel,,1863,INR,470,2.9
OIPTQXLT,Royal Inn,"Near Jankidevi Public School Road, Varsova, Mumbai",Mumbai,,,hotel,,2740,INR,465,2.9
OIDIXOPZ,Capital O Hotel Zaid International NEAR L&T Sakinaka & IIT POWAI,"Near Huntsman Building, Marol, Mumbai",Mumbai,,,hotel,,3273,INR,711,3.8
OIOATVEW,Flagship Om Residency,"Near Ganesh nagar, Marol, Mumbai",Mumbai,,,hotel,,2530,INR,16,1.1
OIYBXLIU,SPOT ON Yatra Inn,"Lalbagh, Bangalore",Bangalore,,,hotel,,1040,INR,2617,5.0
OIPTFVTA,Townhouse 180 Jayanagar,"Near Sagar Hospital, Tilak Nagar, Bangalore",Bangalore,,,hotel,,1828,INR,3524,5.0
